outer_fold,source_scheme,target,selection_uar_weight,selection_macro_f1_weight,selected_tau,inner_selection_score,inner_uar,inner_macro_f1,inner_repeat
3,muq_multitask,front_placement,0.5,0.5,0.5,0.3839478909547238,0.3916287243390047,0.376267057570443,1
3,muq_multitask,back_placement,0.5,0.5,0.25,0.4198623934547128,0.4182393693263259,0.4214854175830997,1
3,muq_multitask,open_throat,0.5,0.5,0.0,0.4178272093715403,0.4252221332700784,0.410432285473002,1
3,muq_multitask,breathiness,0.5,0.5,0.5,0.6237250587946612,0.6488346525945471,0.5986154649947754,1
3,muq_multitask,vibrato,0.5,0.5,0.5,0.495403986858846,0.5764549857487232,0.4143529879689687,1
4,muq_multitask,chest_resonance,0.5,0.5,0.5,0.3904317359605881,0.4373611989595763,0.3435022729615999,1
4,muq_multitask,head_resonance,0.5,0.5,0.0,0.3595349941660594,0.3631912091636012,0.3558787791685176,1
4,muq_multitask,front_placement,0.5,0.5,0.5,0.3799094625349553,0.3932675799848475,0.366551345085063,1
4,muq_multitask,back_placement,0.5,0.5,0.5,0.4237218400153566,0.4467528105898438,0.4006908694408694,1
4,muq_multitask,open_throat,0.5,0.5,0.0,0.3787534201689104,0.3655809797420662,0.3919258605957547,1
4,muq_multitask,breathiness,0.5,0.5,0.0,0.5403043649547314,0.5384716628497723,0.5421370670596906,1
4,muq_multitask,vibrato,0.5,0.5,0.25,0.5119798560418429,0.5657573798750269,0.4582023322086589,1
5,muq_multitask,chest_resonance,0.5,0.5,0.0,0.3527026326653617,0.3648703533144012,0.3405349120163222,1
5,muq_multitask,head_resonance,0.5,0.5,0.0,0.3407989824359168,0.3474348726580493,0.3341630922137844,1
5,muq_multitask,front_placement,0.5,0.5,1.0,0.3759898587071448,0.4126167149328466,0.3393630024814432,1
5,muq_multitask,back_placement,0.5,0.5,0.25,0.4118744040647038,0.4328811158330609,0.3908676922963467,1
5,muq_multitask,open_throat,0.5,0.5,0.0,0.4085430669749008,0.4250964169600846,0.3919897169897169,1
5,muq_multitask,breathiness,0.5,0.5,0.5,0.54326189752899,0.5478053852889667,0.5387184097690134,1
5,muq_multitask,vibrato,0.5,0.5,1.0,0.3499216486634516,0.3944265454181979,0.3054167519087054,1
0,muq_multitask,chest_resonance,0.5,0.5,0.75,0.4351704155279561,0.4775847056744224,0.3927561253814898,2
0,muq_multitask,head_resonance,0.5,0.5,0.75,0.3901987131092393,0.4102964800377983,0.3701009461806804,2
0,muq_multitask,front_placement,0.5,0.5,1.0,0.3961684009039224,0.4273461431356168,0.364990658672228,2
0,muq_multitask,back_placement,0.5,0.5,0.75,0.4512644495702984,0.5037839487335978,0.3987449504069991,2
0,muq_multitask,open_throat,0.5,0.5,0.5,0.3529085846078638,0.3661075766338924,0.3397095925818352,2
0,muq_multitask,breathiness,0.5,0.5,0.75,0.5331261841043287,0.542593220338983,0.5236591478696742,2
0,muq_multitask,vibrato,0.5,0.5,1.0,0.4747779853421435,0.5644631393734448,0.3850928313108423,2
1,muq_multitask,chest_resonance,0.5,0.5,0.25,0.418149208201145,0.4381857152635332,0.3981127011387567,2
1,muq_multitask,head_resonance,0.5,0.5,0.25,0.3747925597381314,0.3893950150972622,0.3601901043790005,2
1,muq_multitask,front_placement,0.5,0.5,0.25,0.3983820064336456,0.4015374455967245,0.3952265672705667,2
1,muq_multitask,back_placement,0.5,0.5,0.5,0.4225762986991694,0.4529454083813505,0.3922071890169884,2
1,muq_multitask,open_throat,0.5,0.5,0.25,0.3882828669945765,0.4027634297520661,0.3738023042370868,2
1,muq_multitask,breathiness,0.5,0.5,0.75,0.5872942388048283,0.6287763276909162,0.5458121499187406,2
1,muq_multitask,vibrato,0.5,0.5,0.5,0.5098340917039473,0.5947375776731385,0.4249306057347561,2
2,muq_multitask,chest_resonance,0.5,0.5,0.25,0.3650735799329432,0.3656084803881825,0.3645386794777039,2
2,muq_multitask,head_resonance,0.5,0.5,0.5,0.3756682161386423,0.3866400071890726,0.364696425088212,2
2,muq_multitask,front_placement,0.5,0.5,0.25,0.3521285390221388,0.3540742322506149,0.3501828457936627,2
2,muq_multitask,back_placement,0.5,0.5,1.0,0.4025798623718513,0.4074497489990447,0.3977099757446578,2
2,muq_multitask,open_throat,0.5,0.5,0.5,0.3582352315457023,0.3606248526838919,0.3558456104075126,2
2,muq_multitask,breathiness,0.5,0.5,0.25,0.5550892250780453,0.5557017543859649,0.5544766957701256,2
2,muq_multitask,vibrato,0.5,0.5,0.25,0.3393278733873281,0.3387177770338132,0.3399379697408431,2
3,muq_multitask,chest_resonance,0.5,0.5,0.5,0.3983123158026714,0.4212164750957854,0.3754081565095574,2
