method,estimand,level,target,uar,macro_f1,accuracy
ComParE (inner-tuned),source_equal_weighted,target,front_placement,0.34321089878910954,0.3426103055714118,0.6934200590951742
ComParE (inner-tuned),source_equal_weighted,target,head_resonance,0.29010442415636883,0.2888535544739109,0.4433453356377409
ComParE (inner-tuned),source_equal_weighted,target,open_throat,0.2870397008237619,0.2858344248144656,0.57257676525783
ComParE (inner-tuned),source_equal_weighted,target,vibrato,0.3570942933712071,0.35806425509784107,0.5985288730232584
ComParE (inner-tuned),source_equal_weighted,target_macro,ALL,0.341792460716282,0.3404659195033021,0.595412077353781
ComParE (inner-tuned),aria_equal_weighted,target,back_placement,0.33336378165405894,0.33306685398481467,0.5906400604115709
ComParE (inner-tuned),aria_equal_weighted,target,breathiness,0.49449930088556043,0.4943575181915409,0.7792065237367242
ComParE (inner-tuned),aria_equal_weighted,target,chest_resonance,0.2915167165320729,0.2898711541256912,0.4730281050790262
ComParE (inner-tuned),aria_equal_weighted,target,front_placement,0.3395513330201721,0.33980332833381616,0.6612587612344956
ComParE (inner-tuned),aria_equal_weighted,target,head_resonance,0.29219397473978254,0.293720424900127,0.4661887537490423
ComParE (inner-tuned),aria_equal_weighted,target,open_throat,0.28714202823169865,0.28507710538949693,0.5491009391131493
ComParE (inner-tuned),aria_equal_weighted,target,vibrato,0.36888382550729776,0.36689691166115906,0.6305249574673242
ComParE (inner-tuned),aria_equal_weighted,target_macro,ALL,0.34387870865294906,0.34325618522666373,0.5928497286844759
Inner-weighted calibrated fusion,segment_weighted,target,back_placement,0.35088635595624734,0.35520821537737896,0.671875
Inner-weighted calibrated fusion,segment_weighted,target,breathiness,0.5088979774128584,0.5090318985017867,0.8194444444444444
Inner-weighted calibrated fusion,segment_weighted,target,chest_resonance,0.32440746540715826,0.32435921123035694,0.4947916666666667
Inner-weighted calibrated fusion,segment_weighted,target,front_placement,0.3511783963785971,0.3508040121039992,0.7398726851851852
Inner-weighted calibrated fusion,segment_weighted,target,head_resonance,0.3178992640436245,0.3141147124409036,0.4809027777777778
Inner-weighted calibrated fusion,segment_weighted,target,open_throat,0.2977038218938096,0.28788060617983896,0.6108217592592593
Inner-weighted calibrated fusion,segment_weighted,target,vibrato,0.3500311761297983,0.3495794178548845,0.6140046296296297
Inner-weighted calibrated fusion,segment_weighted,target_macro,ALL,0.3572863510317276,0.35585401052702126,0.6331018518518519
Inner-weighted calibrated fusion,source_equal_weighted,target,back_placement,0.34550779930045716,0.34952957442097365,0.666781758238504
Inner-weighted calibrated fusion,source_equal_weighted,target,breathiness,0.5093898980709566,0.5096802418183389,0.8275817853369822
Inner-weighted calibrated fusion,source_equal_weighted,target,chest_resonance,0.32924343114883114,0.326625675161067,0.5117334625558209
Inner-weighted calibrated fusion,source_equal_weighted,target,front_placement,0.34784959409357347,0.3476392126336419,0.74177086058269
Inner-weighted calibrated fusion,source_equal_weighted,target,head_resonance,0.31547404584474154,0.310950940049041,0.4847183872791839
Inner-weighted calibrated fusion,source_equal_weighted,target,open_throat,0.3017333203582402,0.2896682752422909,0.6158221874110542
Inner-weighted calibrated fusion,source_equal_weighted,target,vibrato,0.3499567074865109,0.3495625802466376,0.6394042196962275
Inner-weighted calibrated fusion,source_equal_weighted,target_macro,ALL,0.3570221137576159,0.35480807136742726,0.6411160944429232
Inner-weighted calibrated fusion,aria_equal_weighted,target,back_placement,0.3360660846259485,0.3341497492658643,0.621443907170849
Inner-weighted calibrated fusion,aria_equal_weighted,target,breathiness,0.5068094699140225,0.5062843900362023,0.8267186333161409
Inner-weighted calibrated fusion,aria_equal_weighted,target,chest_resonance,0.32570198910098136,0.32375859675363106,0.5056280122422041
Inner-weighted calibrated fusion,aria_equal_weighted,target,front_placement,0.3498460894116668,0.3486591333583913,0.7101976648425047
Inner-weighted calibrated fusion,aria_equal_weighted,target,head_resonance,0.3126632281473348,0.30557422856788363,0.48326167298904343
Inner-weighted calibrated fusion,aria_equal_weighted,target,open_throat,0.30286808882672894,0.29203400012311276,0.5795013463599716
Inner-weighted calibrated fusion,aria_equal_weighted,target,vibrato,0.35401043724209974,0.35439239916957926,0.6844220762434384
Inner-weighted calibrated fusion,aria_equal_weighted,target_macro,ALL,0.3554236267526832,0.3521217853249521,0.6301676161663075
MERT linear probe,segment_weighted,target,back_placement,0.3693909483052426,0.3725782700339036,0.6808449074074074
MERT linear probe,segment_weighted,target,breathiness,0.49987180494502087,0.49916781526235693,0.7780671296296297
MERT linear probe,segment_weighted,target,chest_resonance,0.31411811297964776,0.31695233577288845,0.49594907407407407
MERT linear probe,segment_weighted,target,front_placement,0.335374164025333,0.33462485677064846,0.6611689814814815
MERT linear probe,segment_weighted,target,head_resonance,0.30733330285545535,0.3075583596618322,0.4704861111111111
MERT linear probe,segment_weighted,target,open_throat,0.3142696751928176,0.3154485459757557,0.5925925925925926
MERT linear probe,segment_weighted,target,vibrato,0.3533408741281885,0.35186203288500745,0.6235532407407407
MERT linear probe,segment_weighted,target_macro,ALL,0.3562426974902437,0.35688460233748465,0.6146660052910053
MERT linear probe,source_equal_weighted,target,back_placement,0.3615113349429984,0.364320969912969,0.6718184838478976
MERT linear probe,source_equal_weighted,target,breathiness,0.49910422087454653,0.4983181521547093,0.787062059140968
MERT linear probe,source_equal_weighted,target,chest_resonance,0.3195439633529365,0.3191081492958353,0.5064374634911031
MERT linear probe,source_equal_weighted,target,front_placement,0.33276409630739334,0.33130748938763993,0.662951617669246
MERT linear probe,source_equal_weighted,target,head_resonance,0.31138957978740994,0.3115882083052146,0.48034381051197567
MERT linear probe,source_equal_weighted,target,open_throat,0.3175223148288303,0.31635297105799953,0.603251321448015
MERT linear probe,source_equal_weighted,target,vibrato,0.35154292039218826,0.3504983946370852,0.6396318002371346
